state,country
NA,VNM
Pennsylvania,USA
Wyoming,USA
Wyoming,USA
NA,CAN
Respublika Buryatiya,RUS
England,GBR
England,GBR
England,GBR
England,GBR
England,GBR
England,GBR
England,GBR
Kansas,USA
Missouri,USA
England,GBR
Tennessee,USA
Arizona,USA
Tennessee,USA
NA,AUS
Ontario,CAN
New South Wales,AUS
NA,THA
England,GBR
Guangdong,CHN
Kherson,UKR
NA,AUS
NA,RUS
Dubai,ARE
NA,ARE
Nevada,USA
NA,JPN
Maine,USA
New South Wales,AUS
Iowa,USA
NA,GBR
NA,NA
NA,RUS
Brittany,FRA
North Carolina,USA
NA,ESP
England,GBR
England,GBR
Maryland,USA
NA,CIV
Arkansas,USA
New Hampshire,USA
New Hampshire,USA
England,GBR
Moscow,RUS
Wyoming,USA
NA,GBR
NA,PHL
Kentucky,USA
New York,USA
NCT,IND
NA,NA
NA,BRA
Louisiana,USA
Tokyo,JPN
California,USA
Île-de-France,FRA
Wyoming,USA
Ontario,CAN
NA,USA
Santa Fe Province,ARG
Georgia,USA
Massachusetts,USA
NA,ETH
Illinois,USA
Texas,USA
NA,GBR
NA,TUR
Texas,USA
NA,KEN
Punjab,PAK
Texas,USA
Ohio,USA
NA,NGA
Texas,USA
Santa Fe Province,ARG
New York,USA
Scotland,GBR
Quebec,CAN
NA,KEN
Arizona,USA
Veracruz,MEX
Upper West,GHA
Arizona,USA
Gujarat,IND
Florida,USA
NA,SWE
NA,IDN
Yogyakarta,IDN
NA,IDN
Victoria,AUS
NA,GBR
NA,NA
Latium,ITA
Minnesota,USA
California,USA
Mississippi,USA
Minnesota,USA
NA,GEO
Tennessee,USA
Texas,USA
NA,UKR
Wyoming,USA
Massachusetts,USA
Île-de-France,FRA
NA,TWN
Beijing,CHN
NA,TWN
NA,CAN
NA,THA
Arizona,USA
Connecticut,USA
NA,UKR
NA,ZMB
NA,ZWE
Île-de-France,FRA
NA,BEL
Ontario,CAN
Arizona,USA
NA,JPN
NA,SDN
England,GBR
Florida,USA
Alabama,USA
Nebraska,USA
NA,GBR
Indiana,USA
South Carolina,USA
Texas,USA
Alabama,USA
NA,AUS
New York,USA
Florida,USA
Tokyo,JPN
Florida,USA
Kentucky,USA
New York,USA
New Jersey,USA
California,USA
Maryland,USA
Arizona,USA
Nebraska,USA
Texas,USA
NA,RUS
New York,USA
Florida,USA
Hamgyŏng-bukto,PRK
Oregon,USA
Oregon,USA
England,GBR
NA,NA
NA,UKR
Kyiv City,UKR
Kyiv City,UKR
Arizona,USA
Kyiv City,UKR
Maharashtra,IND
NA,UKR
NA,JPN
NA,JPN
Kyiv City,UKR
NA,RUS
NA,RUS
NA,DEU
Berlin,DEU
Illinois,USA
Vermont,USA
Lviv,UKR
Pennsylvania,USA
New York,USA
England,GBR
Ohio,USA
Texas,USA
Gauteng,ZAF
NA,AUS
NA,YEM
Illinois,USA
Texas,USA
North Holland,NLD
Khorāsān-e Jonūbī,IRN
Tehrān,IRN
Tehrān,IRN
Gaza Strip,PSE
NA,RUS
NA,RUS
Saskatchewan,CAN
Alaska,USA
Île-de-France,FRA
Texas,USA
New York,USA
NA,GEO
NA,UKR
NA,POL
NA,CAN
Maine,USA
Ontario,CAN
NA,NA
Manitoba,CAN
Connecticut,USA
Île-de-France,FRA
Île-de-France,FRA
Westmoreland,JAM
Latakia,SYR
NA,NZL
North Holland,NLD
NA,IDN
Vienna,AUT
NA,ITA
NA,GBR
Georgia,USA
NA,GBR
NA,RUS
Wyoming,USA
Michigan,USA
Kiến Giang,VNM
NA,NPL
Busan,KOR
NA,NZL
Montana,USA
Alabama,USA
Île-de-France,FRA
Île-de-France,FRA
NA,CAN
NA,JAM
NA,DZA
New York,USA
Wyoming,USA
New Brunswick,CAN
British Columbia,CAN
Punjab,PAK
NA,VAT
NA,SLV
Alsace-Champagne-Ardenne-Lorraine,FRA
Île-de-France,FRA
Utah,USA
NA,BEL
NA,PRK
Maryland,USA
Wyoming,USA
Île-de-France,FRA
Pennsylvania,USA
Washington,USA
Maine,USA
Wyoming,USA
NA,VAT
NA,NGA
Colorado,USA
Baladīyat ad Dawḩah,QAT
NA,KWT
Oregon,USA
Alabama,USA
Illinois,USA
Møre og Romsdal,NOR
NA,JPN
Belgorod,RUS
NA,RUS
"Washington, D.C.",USA
NA,GBR
NCT,IND
Zaporizhia,UKR
Zaporizhia,UKR
Michigan,USA
British Columbia,CAN
Valle del Cauca,COL
NA,QAT
NA,GEO
NA,AUS
New York,USA
Chon Buri,THA
NA,FRA
Wyoming,USA
NA,VNM
NA,LKA
NA,LKA
Kentucky,USA
Missouri,USA
Missouri,USA
Texas,USA
South Dakota,USA
NA,GBR
NA,UKR
Moscow,RUS
NA,QAT
Moscow,RUS
Ontario,CAN
NA,QAT
England,GBR
NA,GEO
NA,COD
NA,MEX
NA,POL
California,USA
Arbīl,IRQ
NA,IRQ
North Carolina,USA
England,GBR
Minnesota,USA
Michigan,USA
NA,UKR
Tochigi,JPN
California,USA
Moscow,RUS
NA,RUS
Leningrad,RUS
Krasnodarskiy,RUS
Punjab,PAK
Punjab,PAK
Islāmābād,PAK
Île-de-France,FRA
NA,IRN
NCT,IND
NA,IRN
NA,SEN
Vienna,AUT
NA,TUR
NA,TUR
Louisiana,USA
Kermānshāh,IRN
Podgorica,MNE
Moscow,RUS
Île-de-France,FRA
NA,RUS
Arizona,USA
Arkansas,USA
Kherson,UKR
Wakayama,JPN
NA,AUS
NA,MEX
NA,SAU
NA,IRN
Kordestān,IRN
Cordillera,PHL
NA,MEX
NA,NA
NA,IRN
NA,JAM
NA,RUS
NA,GBR
Latium,ITA
NA,UKR
Victoria,AUS
NA,CAN
Iowa,USA
Kentucky,USA
North Sulawesi,IDN
Louisiana,USA
Georgia,USA
Brittany,FRA
Arkansas,USA
Arizona,USA
Bangkok,THA
NA,THA
Bangkok,THA
NA,THA
NA,COD
Alabama,USA
Kyiv City,UKR
Kyiv City,UKR
Kyiv City,UKR
British Columbia,CAN
Kyiv City,UKR
Dnipropetrovsk,UKR
Lagos,NGA
New York,USA
Texas,USA
Chiang Mai,THA
British Columbia,CAN
New York,USA
New York,USA
California,USA
NA,ESP
NA,PRT
Florida,USA
Florida,USA
Florida,USA
NA,GEO
Florida,USA
New York,USA
New York,USA
New York,USA
England,GBR
California,USA
California,USA
Valencia,ESP
Indiana,USA
California,USA
Kentucky,USA
Colorado,USA
NA,SAU
Upper West,GHA
NA,SAU
England,GBR
NA,IRQ
NA,UKR
California,USA
Ohio,USA
NA,TUR
Goa,IND
NA,GBR
NA,TUR
Iowa,USA
Oregon,USA
NA,QAT
NA,QAT
NA,RUS
NA,RUS
England,GBR
Oregon,USA
Arizona,USA
NA,TUR
NA,CAN
Texas,USA
Arizona,USA
NA,CHL
NA,SYR
Île-de-France,FRA
Madhya Pradesh,IND
NA,COD
Texas,USA
Louisiana,USA
Shanghai,CHN
Beijing,CHN
NA,DEU
NA,GBR
NA,CMR
NA,CHE
Wisconsin,USA
Wyoming,USA
NA,DEU
Michigan,USA
Virginia,USA
Virginia,USA
Arkansas,USA
NA,TUR
NA,RUS
Punjab,PAK
England,GBR
Kandahar,AFG
NA,UKR
NA,UKR
NA,BGD
NA,BGD
Baladīyat az̧ Z̧a‘āyin,QAT
NA,QAT
Baladīyat az̧ Z̧a‘āyin,QAT
NA,QAT
NA,CAN
Oregon,USA
Lesser Poland Voivodeship,POL
Minnesota,USA
Florida,USA
England,GBR
Michigan,USA
Virginia,USA
Virginia,USA
England,GBR
England,GBR
Georgia,USA
Algiers,DZA
Wisconsin,USA
South Carolina,USA
NA,GEO
Michigan,USA
NA,SAU
Louisiana,USA
Oregon,USA
California,USA
Wyoming,USA
NA,MAR
NA,GBR
England,GBR
Leinster,IRL
Jerusalem,ISR
Jerusalem,ISR
Texas,USA
NA,CAN
England,GBR
NA,MEX
Ohio,USA
California,USA
New York,USA
Quebec,CAN
Wyoming,USA
Liguria,ITA
NA,ITA
Brussels Capital,BEL
Indiana,USA
Michigan,USA
NA,URY
NA,PRT
Azores,PRT
NA,ESH
NA,BOL
Texas,USA
Florida,USA
England,GBR
England,GBR
England,GBR
Illinois,USA
Ida-Virumaa,EST
NA,MEX
NA,NA
NA,NAM
California,USA
Saint James,JAM
NA,RUS
England,GBR
NA,GBR
England,GBR
New York,USA
Nevada,USA
England,GBR
California,USA
NA,KOR
Kandahar,AFG
Louisiana,USA
England,GBR
NA,IRN
NA,SRB
Central Serbia,SRB
England,GBR
British Columbia,CAN
British Columbia,CAN
NA,NGA
Florida,USA
NA,IRN
Illinois,USA
New York,USA
New York,USA
Tabasco,MEX
NA,IRN
England,GBR
Florida,USA
Texas,USA
Tennessee,USA
Sichuan,CHN
NA,GBR
Madrid,ESP
NA,AUS
Kordestān,IRN
NA,GBR
Rhode Island,USA
Utah,USA
West Virginia,USA
Florida,USA
New York,USA
Florida,USA
Nevada,USA
Tennessee,USA
Massachusetts,USA
NA,NA
California,USA
NA,IRN
Wyoming,USA
Texas,USA
NA,DEU
NA,VAT
Tennessee,USA
Ohio,USA
NA,AUS
Provence-Alpes-Côte d'Azur,FRA
NA,ESP
Kentucky,USA
NA,HRV
Kentucky,USA
Kentucky,USA
Nevada,USA
Andalusia,ESP
Gujarat,IND
Alabama,USA
Arizona,USA
NA,MEX
Latium,ITA
England,GBR
Île-de-France,FRA
Baja California,MEX
Wyoming,USA
NA,GHA
Saskatchewan,CAN
New York,USA
Ohio,USA
Ohio,USA
NA,NA
Inner Mongolia,CHN
Rajasthan,IND
Washington,USA
Beijing,CHN
Oklahoma,USA
NA,FRA
Île-de-France,FRA
Wyoming,USA
British Columbia,CAN
Île-de-France,FRA
England,GBR
California,USA
Michigan,USA
NA,URY
Arkansas,USA
Moscow,RUS
Missouri,USA
Kansas,USA
Kansas,USA
NA,ESP
NA,JPN
New York,USA
NA,FIN
Texas,USA
Utah,USA
NA,GEO
Utah,USA
Alabama,USA
NA,GEO
Texas,USA
Illinois,USA
Utah,USA
NA,GEO
England,GBR
Alberta,CAN
NA,CAN
Ohio,USA
Alabama,USA
South Carolina,USA
Tennessee,USA
Dubai,ARE
NA,AUS
NA,AUS
NA,AUS
NA,GBR
NA,VIR
NA,SAU
New York,USA
Greater Accra,GHA
New York,USA
Arizona,USA
New York,USA
Alabama,USA
Gaza Strip,PSE
NCT,IND
Texas,USA
Île-de-France,FRA
New York,USA
NA,CAN
Kherson,UKR
Scotland,GBR
Georgia,USA
New York,USA
Texas,USA
NA,ZAF
Gaza Strip,PSE
Georgia,USA
Canary Islands,ESP
Illinois,USA
Indiana,USA
New Jersey,USA
Kentucky,USA
Brăila,ROU
Florida,USA
NA,CHE
South Carolina,USA
New South Wales,AUS
NA,JPN
England,GBR
England,GBR
NA,UKR
NA,UKR
Michigan,USA
Île-de-France,FRA
Texas,USA
NA,UKR
England,GBR
NA,IDN
East Java,IDN
East Java,IDN
NA,MEX
Kentucky,USA
Aleppo,SYR
England,GBR
Latium,ITA
NA,BRA
Texas,USA
NA,BRA
New South Wales,AUS
New South Wales,AUS
NA,BRA
NA,HRV
Connaught,IRL
NA,GBR
England,GBR
NA,IND
Texas,USA
Alabama,USA
Washington,USA
NA,MAR
NA,ESP
NA,ESP
England,GBR
Florida,USA
NA,RUS
Dubai,ARE
Kerala,IND
New York,USA
NA,UKR
North Holland,NLD
Washington,USA
Île-de-France,FRA
NA,AUS
NA,GEO
NA,AUS
NA,THA
NA,THA
Hawaii,USA
Michigan,USA
NA,GHA
North Dakota,USA
New Hampshire,USA
Maryland,USA
British Columbia,CAN
Louisiana,USA
Louisiana,USA
New York,USA
New York,USA
NA,GBR
NA,NGA
NA,JPN
NA,GBR
NA,RUS
Wyoming,USA
NA,RUS
Provence-Alpes-Côte d'Azur,FRA
NA,RUS
NA,UKR
NA,RUS
NA,RUS
Moscow,RUS
NA,RUS
NA,RUS
NA,RUS
Wyoming,USA
NA,RUS
Wyoming,USA
Arizona,USA
NA,RUS
NA,RUS
NA,RUS
Moscow,RUS
NA,RUS
British Columbia,CAN
NA,ITA
Bavaria,DEU
NA,ITA
NA,RUS
Wyoming,USA
NA,RUS
Wyoming,USA
NA,RUS
NA,RUS
Louisiana,USA
Cantabria,ESP
NA,GBR
Sicily,ITA
NA,RUS
Florida,USA
Moscow,RUS
NA,GBR
NA,DEU
NA,POL
NA,RUS
NA,RUS
Wyoming,USA
NA,TCD
NA,NA
NA,UKR
NA,KOR
NA,RUS
NA,RUS
NA,JPN
NA,JPN
NA,RUS
NA,VAT
NA,RUS
Wyoming,USA
Brittany,FRA
NA,RUS
NA,UKR
Missouri,USA
NA,RUS
NA,RUS
NA,GBR
NA,NA
NA,IRQ
Santa Fe Province,ARG
Massachusetts,USA
NA,RUS
Virginia,USA
Wyoming,USA
NA,BRA
NA,RUS
South Carolina,USA
NA,HRV
NA,HRV
NA,CAN
California,USA
New York,USA
Texas,USA
NA,UKR
NA,NA
NA,RUS
Nevada,USA
Arizona,USA
Baja California,MEX
NA,RUS
Michigan,USA
Texas,USA
Arizona,USA
Washington,USA
Washington,USA
Pennsylvania,USA
North Carolina,USA
Assam,IND
Tennessee,USA
NA,RUS
Illinois,USA
Lagos,NGA
Lagos,NGA
NA,RUS
NA,VGB
Victoria,AUS
England,GBR
New York,USA
Illinois,USA
Karnataka,IND
Wyoming,USA
Dubai,ARE
Brittany,FRA
England,GBR
NA,UKR
NA,BGR
NA,MAR
Wyoming,USA
NA,PRT
NA,MAR
Illinois,USA
NA,UKR
NA,MAR
Santa Fe Province,ARG
Jerusalem,ISR
Texas,USA
New York,USA
Minnesota,USA
California,USA
Latium,ITA
England,GBR
NA,GBR
Chimaltenango,GTM
NA,GTM
West Bank,PSE
Michigan,USA
Montana,USA
Akwa Ibom,NGA
Arkansas,USA
NA,POL
NA,RUS
California,USA
NA,RUS
Brittany,FRA
Azad Kashmir,PAK
Azad Kashmir,PAK
Azad Kashmir,PAK
England,GBR
England,GBR
Texas,USA
Vaud,CHE
NA,ITA
Louisiana,USA
Uttarakhand,IND
Uttarakhand,IND
Kabul,AFG
Chahār Maḩāll va Bakhtīārī,IRN
Northern Region,UGA
Texas,USA
NA,UKR
Tahoua,NER
Illinois,USA
Nairobi Area,KEN
Moscow,RUS
Illinois,USA
Michigan,USA
NA,NA
Virginia,USA
Tennessee,USA
NA,DEU
Louisiana,USA
NA,AUS
Brjansk,RUS
New York,USA
NA,FRA
NA,NZL
Île-de-France,FRA
NA,RUS
Western Australia,AUS
Illinois,USA
Valparaíso,CHL
NA,NZL
Michigan,USA
Texas,USA
NCT,IND
Florida,USA
Illinois,USA
NA,NZL
West Bengal,IND
Idlib,SYR
California,USA
NA,TCD
Lagos,NGA
NA,NA
Wyoming,USA
Wyoming,USA
New York,USA
Wyoming,USA
Wyoming,USA
New York,USA
New York,USA
New York,USA
Alabama,USA
Florida,USA
Pennsylvania,USA
NA,HRV
Santa Fe Province,ARG
Pennsylvania,USA
NA,NZL
NA,HRV
Missouri,USA
Wyoming,USA
Praha,CZE
Kyiv City,UKR
Alberta,CAN
Wisconsin,USA
Virginia,USA
NA,DEU
Minnesota,USA
Michigan,USA
NA,DEU
Louisiana,USA
NA,DEU
Louisiana,USA
Wyoming,USA
Texas,USA
NA,RUS
NA,UKR
Kansas,USA
Ohio,USA
Wisconsin,USA
Maranhão,BRA
Texas,USA
Illinois,USA
NA,VAT
NA,IRN
NA,GEO
Texas,USA
Minnesota,USA
Kentucky,USA
Hawaii,USA
Hawaii,USA
NA,FRA
NA,MAR
Meta,COL
Alberta,CAN
NA,GBR
NA,GBR
New York,USA
Alberta,CAN
Florida,USA
Ohio,USA
Illinois,USA
New York,USA
Texas,USA
NA,AUS
Maryland,USA
NA,MOZ
Alberta,CAN
NA,NOR
Texas,USA
Nairobi Area,KEN
Minnesota,USA
Florida,USA
Alberta,CAN
Louisiana,USA
Louisiana,USA
NA,DEU
England,GBR
Karnataka,IND
Arizona,USA
NA,RUS
Alberta,CAN
Minnesota,USA
Baja California,MEX
Ontario,CAN
Ontario,CAN
Moscow,RUS
Idaho,USA
Moscow,RUS
Idaho,USA
South Sinai,EGY
NA,GBR
New York,USA
NA,NGA
Scotland,GBR
Florida,USA
Sancti Spíritus,CUB
NA,TTO
NA,OMN
NA,MLT
Leeward Islands,PYF
NA,VNM
England,GBR
Balearic Islands,ESP
New York,USA
New York,USA
NA,GBR
NA,NGA
NA,RUS
NA,MEX
Florida,USA
Florida,USA
Florida,USA
Alaska,USA
Florida,USA
Florida,USA
South Carolina,USA
Amhara,ETH
New York,USA
Arizona,USA
Georgia,USA
Ontario,CAN
Beijing,CHN
Beijing,CHN
Beijing,CHN
Niger,NGA
Florida,USA
Primorskiy,RUS
Primorskiy,RUS
New York,USA
Idaho,USA
NA,VAT
Lovech,BGR
Lovech,BGR
Illinois,USA
Colorado,USA
Michigan,USA
NA,KOR
NA,MDA
Georgia,USA
Minnesota,USA
South Australia,AUS
Louisiana,USA
NA,TUR
West Bengal,IND
Jiangsu,CHN
Banten,IDN
NA,SWE
NA,RUS
West Virginia,USA
England,GBR
England,GBR
NA,GBR
Lower River,GMB
Santa Fe Province,ARG
Santa Fe Province,ARG
Michigan,USA
Florida,USA
Normandy,FRA
England,GBR
Santa Fe Province,ARG
New York,USA
Northern District,ISR
NA,HRV
Santa Fe Province,ARG
NA,BRA
NA,FRA
NA,PRT
NA,JPN
NA,JPN
NA,CHL
Bali,IDN
Wyoming,USA
NA,MEX
NA,PAK
Florida,USA
Kyiv City,UKR
New York,USA
England,GBR
England,GBR
Alsace-Champagne-Ardenne-Lorraine,FRA
NA,GRC
NA,MEX
NCT,IND
England,GBR
Kabul,AFG
Massachusetts,USA
Wyoming,USA
NA,RUS
Ontario,CAN
Saint James,JAM
California,USA
North Carolina,USA
Colorado,USA
Virginia,USA
Illinois,USA
Illinois,USA
NA,CHL
Liaoning,CHN
Liaoning,CHN
Jiangsu,CHN
Jiangsu,CHN
NA,ITA
Saskatchewan,CAN
NCT,IND
Florida,USA
Florida,USA
NA,NA
NA,NZL
Massachusetts,USA
NA,CAN
NA,NA
Oklahoma,USA
Saint James,JAM
Louisiana,USA
Louisiana,USA
Ohio,USA
Belgorod,RUS
NA,MNP
Provence-Alpes-Côte d'Azur,FRA
NA,RUS
Madhya Pradesh,IND
NA,VIR
NA,NGA
Oregon,USA
Māzandarān,IRN
Northern District,ISR
NA,AUS
NA,JPN
NA,RWA
Lombardy,ITA
North Rhine-Westphalia,DEU
Georgia,USA
Texas,USA
Madrid,ESP
NA,AUS
Arizona,USA
Kentucky,USA
Ohio,USA
Maharashtra,IND
Central,FJI
British Columbia,CAN
NA,VNM
Catalonia,ESP
New York,USA
Nairobi Area,KEN
Western Cape,ZAF
NA,NGA
NA,NGA
NA,VIR
Ontario,CAN
NA,ESP
Ontario,CAN
Kyiv City,UKR
South Dakota,USA
NCT,IND
Oregon,USA
Maryland,USA
NA,IRN
NA,IRQ
Tolima,COL
Île-de-France,FRA
Île-de-France,FRA
Wales,GBR
NA,UKR
Westmoreland,JAM
NA,UKR
Santiago de Cuba,CUB
NA,RUS
Northland Region,NZL
Ohio,USA
England,GBR
New Mexico,USA
Provence-Alpes-Côte d'Azur,FRA
South Dakota,USA
Illinois,USA
NA,CAN
Arizona,USA
Washington,USA
NA,RUS
NA,RUS
Florida,USA
Ohio,USA
England,GBR
Kankan,GIN
Oklahoma,USA
NA,CHN
Central Region,UGA
NA,NA
Ohio,USA
Kentucky,USA
Ohio,USA
Beijing,CHN
NA,MYS
North Carolina,USA
Santiago Metropolitan,CHL
Queensland,AUS
NA,FRA
Delaware,USA
Delaware,USA
Texas,USA
Pennsylvania,USA
NA,DZA
Moscow,RUS
NA,MEX
Qibilī,TUN
New York,USA
Missouri,USA
NA,JAM
New York,USA
Île-de-France,FRA
Texas,USA
Texas,USA
NA,GBR
Alaska,USA
NA,FRA
Illinois,USA
Florida,USA
Kaduna,NGA
New Mexico,USA
Pennsylvania,USA
Surat Thani,THA
New York,USA
NA,GBR
NA,GBR
Pennsylvania,USA
Minnesota,USA
Wales,GBR
Wales,GBR
Wales,GBR
Wales,GBR
Wales,GBR
Wales,GBR
Gyeonggi-do,KOR
NA,GBR
England,GBR
Moscow,RUS
Moscow,RUS
Moscow,RUS
Shanghai,CHN
Leinster,IRL
Arizona,USA
Campeche,MEX
Arizona,USA
East Kazakhstan,KAZ
Kiến Giang,VNM
California,USA
Missouri,USA
New York,USA
Wyoming,USA
Georgia,USA
North Rhine-Westphalia,DEU
NA,NA
NA,GBR
Maharashtra,IND
Buriram,THA
New York,USA
Kansas,USA
NA,GBR
Massachusetts,USA
Attica,GRC
NA,VIR
Kentucky,USA
NA,GBR
NA,GBR
NA,GBR
England,GBR
Catalonia,ESP
NA,GBR
Bavaria,DEU
England,GBR
England,GBR
NA,GBR
Kansas,USA
Kansas,USA
Kansas,USA
Campania,ITA
NA,VIR
NA,JPN
NA,TWN
Massachusetts,USA
Arizona,USA
NA,GBR
NA,GBR
Kansas,USA
New York,USA
Texas,USA
Kansas,USA
Newfoundland and Labrador,CAN
Michigan,USA
Pomeranian Voivodeship,POL
Valle del Cauca,COL
NA,GBR
NA,GBR
British Columbia,CAN
Mississippi,USA
Missouri,USA
NA,KEN
England,GBR
England,GBR
Kansas,USA
British Columbia,CAN
Florida,USA
Assam,IND
NA,VAT
Kyiv City,UKR
Iowa,USA
NA,NGA
England,GBR
NA,GBR
New Jersey,USA
Wyoming,USA
Pennsylvania,USA
England,GBR
California,USA
Michigan,USA
Saskatchewan,CAN
Texas,USA
Indiana,USA
NA,RUS
Baden-Württemberg,DEU
Île-de-France,FRA
NA,RUS
NA,JAM
Oregon,USA
NA,GBR
New South Wales,AUS
Pennsylvania,USA
NA,RUS
NA,GBR
Washington,USA
NA,JPN
NA,UKR
NA,NZL
Alabama,USA
Wyoming,USA
Moscow,RUS
Georgia,USA
Washington,USA
Florida,USA
NA,GBR
Hawaii,USA
NA,NGA
New Jersey,USA
Fujian,CHN
Arizona,USA
New York,USA
Assam,IND
NA,DEU
NA,NA
NA,ITA
England,GBR
Virginia,USA
Goa,IND
NA,UKR
NA,NA
Ohio,USA
Indiana,USA
NA,RUS
Sverdlovsk,RUS
Kyiv City,UKR
North Carolina,USA
Florida,USA
New York,USA
NA,NA
NA,NA
Michigan,USA
Alabama,USA
New York,USA
Bamyan,AFG
NA,IRQ
NA,RUS
Kyiv City,UKR
Tennessee,USA
NA,GBR
England,GBR
California,USA
New Jersey,USA
Santa Fe Province,ARG
NA,JAM
Leinster,IRL
Connecticut,USA
Connecticut,USA
Wyoming,USA
Zanjan,IRN
NA,RUS
Ústecký,CZE
Washington,USA
Texas,USA
Île-de-France,FRA
Georgia,USA
Georgia,USA
Texas,USA
Texas,USA
NA,RWA
Leinster,IRL
England,GBR
Ohio,USA
Leinster,IRL
England,GBR
Rio de Janeiro,BRA
Wales,GBR
Kyiv City,UKR
New York,USA
Louisiana,USA
Victoria,AUS
Texas,USA
Texas,USA
Bavaria,DEU
Bavaria,DEU
Bavaria,DEU
Bavaria,DEU
Hesse,DEU
Wyoming,USA
NA,NA
Wyoming,USA
NA,ISR
NA,GBR
Arizona,USA
New York,USA
England,GBR
Assam,IND
Texas,USA
NA,VAT
Louisiana,USA
Somali,ETH
NA,GBR
Inner Mongolia,CHN
NA,GBR
NA,GBR
NA,GBR
NA,GBR
Arizona,USA
Kordestān,IRN
Oregon,USA
NCT,IND
NA,DEU
Texas,USA
England,GBR
California,USA
Maryland,USA
Minnesota,USA
New York,USA
New Jersey,USA
NA,FRA
Oklahoma,USA
Berlin,DEU
New York,USA
NA,SOM
New York,USA
NA,VAT
NA,THA
NA,GBR
NA,RUS
New York,USA
NA,VAT
NA,USA
NA,ZMB
NA,ZWE
Latium,ITA
NA,OMN
Sarawak,MYS
England,GBR
England,GBR
Western Australia,AUS
New York,USA
NA,NGA
NA,SWE
Sinaloa,MEX
Sinaloa,MEX
Sinaloa,MEX
Sinaloa,MEX
Sinaloa,MEX
England,GBR
England,GBR
England,GBR
NA,VAT
NA,CAN
NA,RUS
Quebec,CAN
Sistan and Baluchestan,IRN
NA,NA
Washington,USA
NA,AUS
Maharashtra,IND
Montana,USA
Connecticut,USA
Abuja Federal Capital Territory,NGA
England,GBR
Uttar Pradesh,IND
Massachusetts,USA
Bourgogne-Franche-Comté,FRA
England,GBR
Republic of Crimea,UKR
Moscow,RUS
England,GBR
NA,GBR
England,GBR
NA,GBR
England,GBR
NA,GBR
England,GBR
NA,GBR
England,GBR
NA,GBR
England,GBR
NA,GBR
England,GBR
NA,GBR
England,GBR
NA,GBR
NA,MEX
Jihočeský,CZE
Texas,USA
North Carolina,USA
Ontario,CAN
NA,AZE
England,GBR
Ohio,USA
Maryland,USA
Quebec,CAN
Florida,USA
Moscow,RUS
British Columbia,CAN
British Columbia,CAN
NA,RWA
NA,GBR
NA,SRB
Western Cape,ZAF
NA,MYS
South Carolina,USA
Maseru,LSO
England,GBR
Narok,KEN
Sverdlovsk,RUS
NA,UKR
Mississippi,USA
Ontario,CAN
Ohio,USA
Quebec,CAN
Illinois,USA
Oregon,USA
Oregon,USA
Maharashtra,IND
Mykolaiv,UKR
California,USA
Texas,USA
Primorskiy,RUS
NA,IRN
California,USA
Gaza Strip,PSE
Georgia,USA
NA,IRQ
NA,ROU
British Columbia,CAN
Wisconsin,USA
Moscow,RUS
England,GBR
England,GBR
Lagos,NGA
Friuli Venezia Giulia,ITA
Florida,USA
California,USA
Arizona,USA
NA,GBR
