state,country
California,USA
Michigan,USA
England,GBR
NA,NA
Nagano,JPN
Toyama,JPN
Cojedes,VEN
Arizona,USA
NA,UKR
NA,CAN
Lesser Poland Voivodeship,POL
NA,POL
Santarém,PRT
Arkansas,USA
NA,BHR
NA,GBR
Pennsylvania,USA
NA,FRA
NA,MAR
Valparaíso,CHL
NA,CHL
Lagos,NGA
NA,JPN
NA,POL
North Carolina,USA
England,GBR
NA,GBR
Florida,USA
NA,ISR
NA,CAN
Louisiana,USA
NA,GBR
Quebec,CAN
NA,GBR
Texas,USA
Iowa,USA
Santa Fe Province,ARG
Latium,ITA
England,GBR
England,GBR
NA,CUB
California,USA
NA,ESP
NA,NPL
NA,BIH
New York,USA
NA,AND
Michoacán,MEX
NA,CUB
New York,USA
Texas,USA
Aguascalientes,MEX
NA,UKR
Illinois,USA
California,USA
California,USA
NA,VEN
NA,IRN
New York,USA
Florida,USA
England,GBR
NA,MOZ
NA,SVK
West Greece,GRC
Scotland,GBR
Guantánamo,CUB
NA,VEN
Alabama,USA
São Paulo,BRA
Coclé,PAN
West,CMR
NA,ESP
Ponce,PRI
Michigan,USA
New York,USA
Utah,USA
Dubai,ARE
Oregon,USA
Seoul,KOR
England,GBR
England,GBR
Buenos Aires,ARG
England,GBR
North Carolina,USA
NA,THA
England,GBR
Scotland,GBR
Ohio,USA
NA,ITA
Wallonia,BEL
NA,DEU
Ontario,CAN
NA,JEY
Bourgogne-Franche-Comté,FRA
Indiana,USA
NA,JPN
Michigan,USA
South Carolina,USA
Florida,USA
New York,USA
Kentucky,USA
Texas,USA
Iowa,USA
Louisiana,USA
Texas,USA
Thuringia,DEU
Maryland,USA
Northern Territory,AUS
NA,JPN
Sabah,MYS
Brittany,FRA
NA,GEO
Michigan,USA
Seoul,KOR
Mississippi,USA
NA,GBR
Utah,USA
Long Island,BHS
Al Mahrah,YEM
Jeollanam-do,KOR
Ohio,USA
British Columbia,CAN
Tennessee,USA
Alabama,USA
Beijing,CHN
Michigan,USA
Lombardy,ITA
NA,GBR
Michigan,USA
Georgia,USA
NA,GBR
Georgia,USA
Oklahoma,USA
Arkansas,USA
NA,DEU
Île-de-France,FRA
Minnesota,USA
England,GBR
Texas,USA
England,GBR
Madrid,ESP
New York,USA
Utah,USA
Pennsylvania,USA
Michigan,USA
California,USA
NA,VEN
Vienna,AUT
California,USA
Castelo Branco,PRT
Castelo Branco,PRT
Castille and León,ESP
Wyoming,USA
England,GBR
Ohio,USA
Nebraska,USA
Washington,USA
Bavaria,DEU
California,USA
NA,UKR
California,USA
Santa Rita,GUM
California,USA
Kentucky,USA
New Jersey,USA
Kwajalein Atoll,MHL
Ohio,USA
Georgia,USA
Michigan,USA
Michigan,USA
Wyoming,USA
Amazonas,BRA
Missouri,USA
Wales,GBR
Wales,GBR
NA,GEO
Sinaloa,MEX
Wakayama,JPN
Madrid,ESP
Western Australia,AUS
Vienna,AUT
Florida,USA
Florida,USA
California,USA
Coahuila,MEX
Wyoming,USA
Lombardy,ITA
Alabama,USA
Flevoland,NLD
South Holland,NLD
British Columbia,CAN
NA,GBR
England,GBR
NA,NA
Ho Chi Minh City,VNM
England,GBR
Scotland,GBR
California,USA
NA,SGP
Saint Thomas Island,VIR
Pardubický,CZE
North Holland,NLD
Île-de-France,FRA
England,GBR
Latium,ITA
California,USA
,MCO
NA,DEU
NA,NA
Tamil Nadu,IND
Wyoming,USA
England,GBR
California,USA
Vienna,AUT
California,USA
Scotland,GBR
England,GBR
England,GBR
England,GBR
Tokyo,JPN
Tokyo,JPN
Valle del Cauca,COL
Nevada,USA
Texas,USA
Shanxi,CHN
Shaanxi,CHN
Amman,JOR
Connecticut,USA
Colorado,USA
Al-Hasakah,SYR
NA,ESP
Florida,USA
California,USA
NA,CAN
Hesse,DEU
Arizona,USA
England,GBR
Idaho,USA
Idaho,USA
California,USA
California,USA
Oregon,USA
New Jersey,USA
Maryland,USA
Maryland,USA
Veracruz,MEX
Michigan,USA
NA,AFG
NA,AFG
Oregon,USA
Zala,HUN
NA,CAN
Illinois,USA
NA,COD
North Carolina,USA
Assam,IND
NA,ESH
New York,USA
NA,JEY
New York,USA
Indiana,USA
Tennessee,USA
New York,USA
Maine,USA
Minnesota,USA
England,GBR
Texas,USA
Dubai,ARE
Arizona,USA
Massachusetts,USA
Oklahoma,USA
Illinois,USA
England,GBR
Dar es Salaam,TZA
New York,USA
NA,CAN
England,GBR
California,USA
Montana,USA
Florida,USA
NA,GBR
NA,GBR
England,GBR
Maryland,USA
Huanuco,PER
Heilongjiang,CHN
Michigan,USA
NA,NA
Arizona,USA
Iowa,USA
Oregon,USA
Pennsylvania,USA
Wallonia,BEL
Montana,USA
Michigan,USA
NA,UKR
NA,DEU
Minnesota,USA
New South Wales,AUS
NA,UKR
Kentucky,USA
Kansas,USA
Illinois,USA
Texas,USA
Atlántico,COL
Maryland,USA
England,GBR
Tennessee,USA
California,USA
NA,ITA
California,USA
Calabria,ITA
NA,ITA
Upper West,GHA
Kaliningrad,RUS
Campania,ITA
Hesse,DEU
Texas,USA
Louisiana,USA
Georgia,USA
Montana,USA
Florida,USA
NA,CHE
California,USA
NA,NA
Florida,USA
Iowa,USA
Durango,MEX
Maryland,USA
São Paulo,BRA
Missouri,USA
NA,VIR
NA,PRT
NA,PRT
New South Wales,AUS
New South Wales,AUS
Santa Catarina,BRA
NA,GBR
Berlin,DEU
Illinois,USA
Alabama,USA
Nevada,USA
Iowa,USA
Maryland,USA
South Carolina,USA
Florida,USA
Oklahoma,USA
Texas,USA
NA,RUS
Wyoming,USA
Wyoming,USA
Louisiana,USA
NA,VEN
Brittany,FRA
Ashanti,GHA
New York,USA
Wellington,NZL
Florida,USA
South Australia,AUS
Gisborne,NZL
Western Australia,AUS
Ma’an,JOR
NA,GBR
Nebraska,USA
Madrid,ESP
California,USA
Arizona,USA
Galicia,ESP
Andalusia,ESP
Leinster,IRL
Leinster,IRL
New South Wales,AUS
England,GBR
Arkansas,USA
Iowa,USA
England,GBR
California,USA
England,GBR
Baden-Württemberg,DEU
California,USA
Oklahoma,USA
Texas,USA
Zanjan,IRN
Iowa,USA
Illinois,USA
Wisconsin,USA
Nebraska,USA
Minnesota,USA
Beijing,CHN
Wisconsin,USA
New Mexico,USA
Indiana,USA
Kentucky,USA
Texas,USA
Massachusetts,USA
NA,NA
Utah,USA
Victoria,AUS
Vienna,AUT
Catalonia,ESP
Madrid,ESP
California,USA
Pichincha,ECU
England,GBR
NA,EGY
England,GBR
Podgorica,MNE
Minnesota,USA
New York,USA
New York,USA
Texas,USA
Bavaria,DEU
Louisiana,USA
Indiana,USA
Ohio,USA
NA,MEX
Calabria,ITA
Wyoming,USA
Illinois,USA
NA,KEN
Colorado,USA
Apulia,ITA
New York,USA
Texas,USA
Buenos Aires,ARG
NA,JEY
NA,GBR
Massachusetts,USA
New Jersey,USA
Île-de-France,FRA
Nakhon Si Thammarat,THA
Western Australia,AUS
England,GBR
Wyoming,USA
Texas,USA
Pennsylvania,USA
Jharkhand,IND
Porto,PRT
Pennsylvania,USA
Massachusetts,USA
Rajasthan,IND
Tennessee,USA
Alsace-Champagne-Ardenne-Lorraine,FRA
Lombardy,ITA
Ohio,USA
NA,USA
British Columbia,CAN
Macau,MAC
Indiana,USA
Iowa,USA
Kentucky,USA
Capital,VEN
NA,VEN
NA,IRN
NA,JPN
NA,NA
NA,AUS
NA,CAN
NA,GBR
Nuevo León,MEX
Arequipa,PER
Illinois,USA
Tuscany,ITA
NA,ITA
Sindh,PAK
West Virginia,USA
Virginia,USA
Ohio,USA
South Dakota,USA
Arizona,USA
Apulia,ITA
Apulia,ITA
England,GBR
Eastern Cape,ZAF
England,GBR
Connecticut,USA
Alsace-Champagne-Ardenne-Lorraine,FRA
NA,STP
Wyoming,USA
Washington,USA
Illinois,USA
Alberta,CAN
Michigan,USA
Ohio,USA
Ohio,USA
Kentucky,USA
North Carolina,USA
Emilia-Romagna,ITA
NA,UKR
Washington,USA
NA,RUS
Kansas,USA
Victoria,AUS
Wakayama,JPN
Massachusetts,USA
South Carolina,USA
NA,GBR
Texas,USA
Ontario,CAN
Iowa,USA
Iowa,USA
Minnesota,USA
Iowa,USA
Rhode Island,USA
Ohio,USA
Florida,USA
New York,USA
Illinois,USA
Florida,USA
Wales,GBR
England,GBR
England,GBR
Texas,USA
Michigan,USA
Jutiapa,GTM
Kentucky,USA
Iowa,USA
Piedmont,ITA
Florida,USA
NA,CHL
NA,VEN
England,GBR
California,USA
California,USA
Michigan,USA
San Martín,PER
Wakayama,JPN
Flanders,BEL
Nevada,USA
Ontario,CAN
Assam,IND
Catalonia,ESP
England,GBR
NA,SLV
Nebraska,USA
NA,GBR
NA,GBR
Massachusetts,USA
Sicily,ITA
NA,USA
Peloponnese,GRC
Peloponnese,GRC
England,GBR
England,GBR
Minnesota,USA
Minnesota,USA
Wisconsin,USA
Iowa,USA
Campania,ITA
New York,USA
New York,USA
NA,NOR
Illinois,USA
England,GBR
Minnesota,USA
California,USA
California,USA
NA,MYS
Galápagos,ECU
Florida,USA
Louisiana,USA
Indiana,USA
Alabama,USA
Florida,USA
NA,FRA
Alabama,USA
Florida,USA
Lampung,IDN
Paktika,AFG
Colorado,USA
Massachusetts,USA
Iowa,USA
Montana,USA
Montana,USA
New South Wales,AUS
Wisconsin,USA
Ontario,CAN
Minnesota,USA
California,USA
England,GBR
New South Wales,AUS
Texas,USA
Iowa,USA
Iowa,USA
England,GBR
New York,USA
Florida,USA
Tennessee,USA
Nuevo León,MEX
Scotland,GBR
England,GBR
Madrid,ESP
Canary Islands,ESP
Alaska,USA
California,USA
South Dakota,USA
Mykolaiv,UKR
Wisconsin,USA
Isfahan,IRN
Michigan,USA
Wyoming,USA
Wyoming,USA
Michigan,USA
NA,USA
Hesse,DEU
Maranhão,BRA
Vienna,AUT
NA,VEN
Maryland,USA
Tennessee,USA
NA,GNQ
Île-de-France,FRA
Kentucky,USA
Georgia,USA
Valencia,ESP
Massachusetts,USA
Tennessee,USA
England,GBR
Maryland,USA
NA,VIR
NA,VIR
Texas,USA
Saskatchewan,CAN
NA,CAN
Île-de-France,FRA
NA,GUY
Tennessee,USA
Hormozgan,IRN
Guangdong,CHN
England,GBR
